symbol,companyName,marketCap,sector,industry,beta,price,lastAnnualDividend,volume,exchange,exchangeShortName,country,isEtf,isFund,isActivelyTrading
FAETX,American Funds 2030 Target Date Retirement Fd Cl F-1,47688855542,Financial Services,Asset Management,0.96,17.13,0.314,0,NASDAQ,NASDAQ,,False,True,True
RFETX,American Funds 2030 Target Date Retirement Fund,47688855538,Financial Services,Asset Management,0.96,17.4,0.373,0,NASDAQ,NASDAQ,,False,True,True
BAGIX,Baird Aggregate Bond Fund Institutional Class,46387408894,Financial Services,Asset Management - Bonds,1.01,9.77,0.246,0,NASDAQ,NASDAQ,,False,True,True
BAGSX,Baird Aggregate Bond Fd Investor Class,46387408886,Financial Services,Asset Management - Bonds,1.02,10.16,0.22999999999999998,0,NASDAQ,NASDAQ,,False,True,True
AAFTX,American Funds 2035 Target Date Retirement Fund,45943230456,Financial Services,Asset Management,1.07,19.02,0.302,0,NASDAQ,NASDAQ,,False,True,True
RFFTX,American Funds 2035 Trgt Date Retire R6,45943230451,Financial Services,Asset Management,1.08,19.16,0.357,0,Nasdaq,NASDAQ,,False,True,True
FAQTX,American Funds 2035 Target Date Retirement Fd Cl F-1,45943230446,Financial Services,Asset Management,1.08,18.88,0.298,0,NASDAQ,NASDAQ,,False,True,True
JCBZX,JPMorgan Core Bond Fund Class R2,45724676096,Financial Services,Asset Management - Bonds,0.91,10.24,0.21799999999999997,0,NASDAQ,NASDAQ,,False,True,True
JCBUX,JPMorgan Core Bond Fund,45724676093,,,0.92,10.27,0.3360000000000001,0,Nasdaq,NASDAQ,,False,True,True
WOBDX,JPMorgan Core Bond Fund,45724676092,Financial Services,Asset Management - Bonds,0.92,10.25,0.257,0,NASDAQ,NASDAQ,US,False,True,True
MWTRX,Metropolitan West Total Return Bond Fund,45690601469,Financial Services,Asset Management - Bonds,1.14,9.04,0.3404170000000001,0,NASDAQ,NASDAQ,US,False,True,True
MWTIX,Metropolitan West Total Return Bond Fd Cl I,45690601469,Financial Services,Asset Management - Bonds,1.13,9.04,0.32600000000000007,0,NASDAQ,NASDAQ,,False,True,True
MWTSX,Metropolitan West Total Return Bond Fund Plan Class,45690601468,Financial Services,Asset Management - Bonds,1.13,8.48,0.3377880000000001,0,NASDAQ,NASDAQ,US,False,True,True
LLDYX,Lord Abbett Short Duration Income I,42134478847,Financial Services,Asset Management - Income,0.29,3.86,0.17870800000000003,0,Nasdaq,NASDAQ,,False,True,True
LDLVX,Lord Abbett Short Duration Income Fund,42134478847,Financial Services,Asset Management - Income,0.3,3.86,0.17872700000000002,0,NASDAQ,NASDAQ,US,False,True,True
LOLDX,Lord Abbett Short Duration Income F3,42134478846,,,0.29,3.87,0.16300000000000003,0,Nasdaq,NASDAQ,,False,True,True
VBILX,Vanguard Intermediate-Term Bond Index Fund Admiral Shares,39136264184,Financial Services,Asset Management - Bonds,1.05,10.27,0.29700000000000004,0,NASDAQ,NASDAQ,,False,True,True
FUSIX,Strategic Advisers Fidelity International Fund,37806870520,Financial Services,Asset Management,1.04,12.55,0.29800000000000004,0,Nasdaq,NASDAQ,US,False,True,True
